Uniq_Id,Address_Full,Price,Sqr_Ft,Price_Sqr_Ft,Year_Built,Last_Sold_Year,Roof_Type,Description,Price_Score,Size_Score,Age_Score,Recent_Sale_Score,Roof_Type_Score,Final_Prospect_Score
9a3aba684b9d6f45a00da5a64b398d97,"7227 Freedom Ring St, Las Vegas, NV 89148",239900.0,1266.0,$189/sqft,2004.0,2015.0,Roof: Tile, Beautiful cozy 2 bedroom house in the booming Southwest area! Upgraded tile flooring downstairs! Upgraded cabinetry and an island with room for stools in the kitchen! Large master bedroom with an oversized walk in closet and a balcony! Loft area upstairs. Truly a MUST SEE! Available to both owner occupants AND investors! ,2.0,0.0,5,-4,-40,-37.0
b27c25963b1614284e5c390de5dee60d,"680 Hidden Cellar Ct, Las Vegas, NV 89183",429900.0,3136.0,$137/sqft,2004.0,2019.0,Roof: Tile," Stunning FIVE bedroom multi-gen home in the heart of Silverado Ranch! Showstopping, vaulted entry offers endless natural light while the UV tinted windows maintain privacy & temperature. Entertaining is a breeze with a spacious, gorgeous chef's kitchen - oversized island, stainless steel appliances, sleek, white cabinetry, and breakfast nook - overlooking the family room & well-maintained Northern exposure yard with lush grass & mature landscape! ",4.0,1.0,5,-8,-40,-38.0
d966548f542bae9378232a823a2793f3,"6522 Garden Trail Ct, Houston, TX 77072",195000.0,1503.0,$130/sqft,2001.0,,Roof: Composition, Please contact our office for submission process and details ,1.0,0.0,5,0,50,56.0
77f3f296f180f702ef7d73855c25b587,"1739 French Village Dr, Houston, TX 77055",299000.0,2100.0,$142/sqft,2001.0,,Roof: Composition," ABSOLUTELY STUNNING!! NEVER FLOODED. Gated community located in Spring Branch and zoned to three great schools- VALLEY OAKS ELEMENTARY SCHOOL, LANDRUM MIDDLE SCHOOL, and MEMORIAL HIGH SCHOOL (SPRING BRANCH). This 3-story townhome features three bedrooms with their own bath and spacious closets. Half bath on 2nd floor living room with lots of light. The entire home has custom plantation shutters and beautiful hardwood flooring throughout including the stairs. Home also features three hardwired outdoor security cameras around the outside of your property. Kitchen has stainless steel appliances, granite countertops and plenty of storage. Step out on your balcony for a view of shaded trees and homes adjacent to the property. Garage has Container Store shelving where additional shelving can be added. Easy access to I-10, 290 AND 610 and minutes away from Memorial City Mall, City Centre, Galleria and Memorial Park Move-in Ready and waiting for you!! This is a MUST SEE!! ",2.0,1.0,5,0,50,58.0
80bc65b6c1690579b9f32ca73e4805b6,"16606 Crystal View Cir, Houston, TX 77095",275500.0,2648.0,$104/sqft,2004.0,,Roof: Composition," MULTIPLE OFFERS RECEIVED! Beautiful home located at The Lake of Copper Village, zoned to highly-rated schools, includes pool area, tennis courts, walking trails and playground. Oversized master bedroom includes seating area by the bay window overlooking the manicured, landscaped back yard. Master Bath has his/hers sinks plus separate jacuzzi tub, shower and walk-in closet. This perfect place to be called home, has several desirable upgrades like wood floors, formal living converted to study with custom-built study shelves and French doors, storage cabinets in the bathrooms and laundry room, kitchen cabinets, granite counter tops with under-mount sink, 3 rack dishwasher, tankless on-demand water heater, covered patio, gorgeous well-maintained landscaping in the front and back yards with two upgraded French drains and fully replaced shrubs (2016). Ask your agent for the additional attached documents and welcome to the neighborhood through a newly refinished front door! ",2.0,1.0,5,0,50,58.0
52245bb82370d663c9668514b45030ca,"3703 Concord Dr, Sachse, TX 75048",240000.0,1737.0,$138/sqft,2002.0,,Roof: Composition," This Sachse one-story corner lot home offers a gas fireplace, a master suite with a separate tub and shower, and a two-car garage. You can instantly unlock and tour this home any day of the week from 6am to 9pm, no appointment needed. Plus, every Opendoor home comes with a 90-day buyback guarantee. Terms and conditions apply. ",2.0,0.0,5,0,50,57.0
4e6af1d54df1c0a50455df66fb291ed7,"3306 Grassy Lake Dr, Baton Rouge, LA 70816",279900.0,2635.0,$106/sqft,2004.0,,," NO FLOOD INSURANCE, Flood Zone X. This spacious home has 4 bedrooms and a loft area. The formal dining room has beautiful French doors making it private enough to be used as a 5th bedroom, office, study, playroom, the possibilities are endless. Walk to Grassy Lake just a few doors away where there is a covered area for sitting and enjoying the view. This home has been very well maintained, with a lot of upgrades. This home is just 1 to miles from everything. Interstate, shopping, several schools, several churches, movie theater and so much more. This is a one street neighborhood with one way in and one way out. ",2.0,1.0,5,0,0,8.0
041a9db9ab63d9dec93f61e18d40621a,"3826 W Fallen Leaf Ln, Glendale, AZ 85310",339000.0,2749.0,$123/sqft,1998.0,2012.0,," Awesome family home in a lovely neighborhood! Fantastic location with easy access to freeways, minutes to shopping, dining, championship golf and family fun at Hurricane Harbor! Loads of natural light graces this open floor plan boasting high ceilings, 2 spacious living areas + a downstairs bonus room w double doors that can be a den, office, hobby room or private play area. Comfort and energy-saving features include 2 A C units and a Nest thermostat. An inviting pool, covered patio and mature landscaping highlight the generously-sized yard. The master suite offers a large bedroom, roomy bathroom w double sinks, extended vanity, and over-sized walk-in closet. A deck w peekaboo mountain views is accessed from the loft area. All 5 bedrooms are upstairs; note one BR doesn't currently have a closet. ",3.0,1.0,10,0,0,14.0
cd62e02f5a1fcdc3ce8ee891b475b64b,"11102 NW 71st Ter, Doral, FL 33178",1098000.0,4534.0,$242/sqft,1999.0,2019.0,," Stunning Design Home with Oversize corner Lot with heated pool , and Jacuzzi with custom gazebo. Featuring design kitchen with onyx counter tops, high quality Miele appliances, top of the line marble floors, granite and crystal. Spectacular bar with wine cooler. custom built closets, wall treatments. Design stairs with the ceiling stained glass dome. Enjoy living in your own resort style with built in BBQ terrace patio kitchen. Come and see it! ",10.0,2.0,10,-8,0,14.0
43c677d0fbdf9c465cb2096c161fbfdc,"226 S 89th St, Mesa, AZ 85208",255000.0,1218.0,$209/sqft,1998.0,2004.0,," beautiful well maintained, very spacious house, located just right off 202 hyway, very close to the malls and shopping centers, extended back patio to entertain family and friends,rv gate and beautiful back yard with gazebo and room for all your toys, the freeway wall keep the house nice and cool in the summer time, newer garage opener and cabinets come and see for yourself your clients will love it.offer will be presented thursday january 23rd..response time by 6:00 p.m. ",2.0,0.0,10,4,0,16.0
